YEAR,COUNTY_DISTRICT_CODE,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ELL_LEP_STUDENTS_ENROLLED_K_12,ELL_LEP_STUDENTS_ENROLLED_K_12_PCT,ELL_LEP_STUDENTS_ENROLLED_PK,ELL_LEP_STUDENTS_ENROLLED_PK_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE
1991,96088,16985,16650.36,0,0,0,0,0,0,4713,27.7,94,0.6,11,0.1,0,0,0,0,11976,70.5,0,0,0,0,0,0
1991,96089,11000,10339.66,0,0,0,0,0,0,5000,45.5,51,0.5,0,0,0,0,0,0,5880,53.5,0,0,0,0,0,0
1991,96090,6252,6366,0,0,0,0,0,0,1400,22.4,0,0,0,0,0,0,0,0,4852,77.6,0,0,0,0,0,0
1991,96091,15608,15658,0,0,0,0,0,0,2284,14.6,47,0.3,6,0,0,0,0,0,13093,83.9,0,0,0,0,0,0
1991,96092,5186,4849.17,0,0,0,0,0,0,1349,26,22,0.4,0,0,0,0,0,0,3769,72.7,0,0,0,0,0,0
1991,96093,5051,4793.28,0,0,0,0,0,0,946,18.7,68,1.3,0,0,0,0,0,0,3985,78.9,0,0,0,0,0,0
1991,96094,11172,10803,0,0,0,0,0,0,1543,13.8,45,0.4,12,0.1,0,0,0,0,9484,84.9,0,0,0,0,0,0
1991,96095,22465,21733.81,0,0,0,0,0,0,4347,19.4,142,0.6,22,0.1,0,0,0,0,16937,75.4,0,0,0,0,0,0
1991,96098,2393,2408,0,0,0,0,0,0,405,16.9,8,0.3,0,0,0,0,0,0,1952,81.6,0,0,0,0,0,0
1991,96099,1303,1208.33,0,0,0,0,0,0,200,15.3,5,0.4,0,0,0,0,0,0,1092,83.8,0,0,0,0,0,0
1991,96101,807,763,0,0,0,0,0,0,211,26.1,11,1.4,0,0,0,0,0,0,561,69.5,0,0,0,0,0,0
1991,96102,2163,2108,0,0,0,0,0,0,447,20.7,15,0.7,6,0.3,0,0,0,0,1582,73.1,0,0,0,0,0,0
1991,96103,1590,1569.15,0,0,0,0,0,0,296,18.6,0,0,0,0,0,0,0,0,1294,81.4,0,0,0,0,0,0
1991,96104,2574,2358,0,0,0,0,0,0,1882,73.1,11,0.4,0,0,0,0,0,0,666,25.9,0,0,0,0,0,0
1991,96106,3014,2919,0,0,0,0,0,0,759,25.2,22,0.7,0,0,0,0,0,0,2111,70,0,0,0,0,0,0
1991,96107,1254,1169,0,0,0,0,0,0,435,34.7,0,0,0,0,0,0,0,0,803,64,0,0,0,0,0,0
1991,96109,5914,5384,0,0,0,0,0,0,5550,93.8,0,0,6,0.1,0,0,0,0,345,5.8,0,0,0,0,0,0
1991,96110,7110,6193.5,0,0,0,0,0,0,1799,25.3,30,0.4,6,0.1,0,0,0,0,5180,72.9,0,0,0,0,0,0
1991,96111,4727,4374,0,0,0,0,0,0,2940,62.2,9,0.2,7,0.1,0,0,0,0,1752,37.1,0,0,0,0,0,0
1991,96112,4587,4790,0,0,0,0,0,0,3703,80.7,0,0,0,0,0,0,0,0,818,17.8,0,0,0,0,0,0
