YEAR,COUNTY_DISTRICT_CODE,DROPOUT_9_12_TOTAL,DROPOUT_9_12_TOTAL_RATE,DROPOUT_9_12_ASIAN_RATE,DROPOUT_9_12_BLACK_RATE,DROPOUT_9_12_HISPANIC_RATE,DROPOUT_9_12_INDIAN_RATE,DROPOUT_9_12_MULTIRACIAL_RATE,DROPOUT_9_12_WHITE_RATE,DROPOUT_9_12_MALE_RATE,DROPOUT_9_12_FEMALE_RATE
1991,1090,0,0,0,0,0,0,0,0,0,0
1991,1091,24,3.6,0,0,0,0,0,3.6,3.1,4
1991,1092,0,0,0,0,0,0,0,0,0,0
1991,2089,5,4.9,0,0,0,0,0,4.9,0,0
1991,2090,0,0,0,0,0,0,0,0,0,0
1991,2091,0,0,0,0,0,0,0,0,0,0
1991,2097,22,3.6,0,0,0,0,0,3.7,4.3,3
1991,3031,5,3.4,0,0,0,0,0,3.4,0,0
1991,3032,0,0,0,0,0,0,0,0,0,0
1991,3033,0,0,0,0,0,0,0,0,0,0
1991,3034,0,0,0,0,0,0,0,0,0,0
1991,4106,5,3.6,0,0,0,0,0,3.7,0,0
1991,4109,6,2.4,0,0,0,0,0,2.2,0,0
1991,4110,38,4.6,0,8.3,0,0,0,4.2,5.9,3.3
1991,5120,11,10,0,0,0,0,0,10,0,0
1991,5121,18,10.2,0,0,0,0,0,10.2,11,9.3
1991,5122,0,0,0,0,0,0,0,0,0,0
1991,5123,19,4.1,0,0,0,0,0,4.2,4.8,3.2
1991,5124,0,0,0,0,0,0,0,0,0,0
1991,5126,0,0,0,0,0,0,0,0,0,0
1991,5127,0,0,0,0,0,0,0,0,0,0
1991,5128,29,7.1,0,0,0,0,0,7.1,9.2,5.1
1991,6101,0,0,0,0,0,0,0,0,0,0
1991,6103,5,6.3,0,0,0,0,0,6.6,0,0
1991,6104,5,1.5,0,0,0,0,0,1.5,0,0
1991,7121,0,0,0,0,0,0,0,0,0,0
1991,7122,0,0,0,0,0,0,0,0,0,0
1991,7123,6,3.5,0,0,0,0,0,3.5,0,0
1991,7124,7,6.2,0,0,0,0,0,6.3,0,0
1991,7125,0,0,0,0,0,0,0,0,0,0
1991,7126,0,0,0,0,0,0,0,0,0,0
1991,7129,9,3.2,0,0,0,0,0,3.3,0,0
1991,8106,0,0,0,0,0,0,0,0,0,0
1991,8107,26,9.1,0,0,0,0,0,9.1,9.6,8.6
1991,8110,0,0,0,0,0,0,0,0,0,0
1991,8111,14,6.1,0,0,0,0,0,6.1,7.7,4.4
1991,9077,0,0,0,0,0,0,0,0,0,0
1991,9078,0,0,0,0,0,0,0,0,0,0
1991,9079,5,5.5,0,0,0,0,0,5.5,0,0
1991,9080,12,5.3,0,0,0,0,0,5.3,0,0
1991,10087,0,0,0,0,0,0,0,0,0,0
1991,10089,17,8,0,0,0,0,0,8.1,10.8,4.9
1991,10090,0,0,0,0,0,0,0,0,0,0
1991,10091,5,1.5,0,0,0,0,0,1.5,0,0
1991,10092,6,4.1,0,0,0,0,0,4.2,0,0
1991,10093,281,8.7,6.8,15.7,0,0,0,7.6,8.6,8.8
1991,11076,5,2.1,0,0,0,0,0,2.2,0,0
1991,11078,5,2.6,0,0,0,0,0,2.6,0,0
1991,11079,0,0,0,0,0,0,0,0,0,0
1991,11082,188,5.9,0,0,0,0,0,5.9,6,5.7
1991,12108,18,9.8,0,0,0,0,0,10.1,12.2,6.5
1991,12109,117,8.9,0,8.9,0,0,0,9,10.7,6.9
1991,12110,37,10.4,0,0,0,0,0,10.4,8.1,12.9
1991,13054,0,0,0,0,0,0,0,0,0,0
1991,13055,7,3.6,0,0,0,0,0,3.6,0,0
1991,13057,0,0,0,0,0,0,0,0,0,0
1991,13058,0,0,0,0,0,0,0,0,0,0
1991,13059,0,0,0,0,0,0,0,0,0,0
1991,13060,0,0,0,0,0,0,0,0,0,0
1991,13061,0,0,0,0,0,0,0,0,0,0
1991,13062,0,0,0,0,0,0,0,0,0,0
1991,14126,32,10.9,0,0,0,0,0,11,10.3,11.4
1991,14127,5,3.8,0,0,0,0,0,3.8,0,0
1991,14129,26,4.5,0,0,0,0,0,4.4,3.7,5.3
1991,14130,10,4.7,0,0,0,0,0,4.7,0,0
1991,15001,7,5.5,0,0,0,0,0,5.6,0,0
1991,15002,39,4.9,0,0,0,0,0,4.9,5.1,4.6
1991,15003,10,11.2,0,0,0,0,0,11.2,0,0
1991,15004,12,12.6,0,0,0,0,0,11.6,8.7,18.7
1991,16090,46,4.2,0,0,0,0,0,4.3,5.4,3.1
1991,16092,14,10.8,0,0,0,0,0,10.8,8.4,13.8
1991,16094,0,0,0,0,0,0,0,0,0,0
1991,16096,105,8.5,0,30.6,0,0,0,6,9.5,7.6
1991,16097,0,0,0,0,0,0,0,0,0,0
1991,17121,0,0,0,0,0,0,0,0,0,0
1991,17122,0,0,0,0,0,0,0,0,0,0
1991,17124,0,0,0,0,0,0,0,0,0,0
1991,17125,17,4.9,0,0,0,0,0,4.5,7.3,2.7
1991,17126,0,0,0,0,0,0,0,0,0,0
1991,17127,0,0,0,0,0,0,0,0,0,0
1991,18047,9,4.8,0,0,0,0,0,4.8,0,0
1991,18050,5,3.8,0,0,0,0,0,3.8,0,0
1991,19139,0,0,0,0,0,0,0,0,0,0
1991,19140,0,0,0,0,0,0,0,0,0,0
1991,19142,38,4.8,0,0,0,0,0,4.8,5.7,3.8
1991,19144,12,6.1,0,0,0,0,0,6.1,5.6,6.6
1991,19147,0,0,0,0,0,0,0,0,0,0
1991,19148,12,3.1,0,0,0,0,0,3.2,2.6,3.7
1991,19149,31,4.3,0,0,0,0,0,4.2,4.8,3.8
1991,19150,0,0,0,0,0,0,0,0,0,0
1991,19151,0,0,0,0,0,0,0,0,0,0
1991,19152,79,8,0,0,0,0,0,7.7,11.6,4.7
1991,20001,14,5.4,0,0,0,0,0,5.4,5.1,5.7
1991,20002,17,5,0,0,0,0,0,5,5.7,4.4
1991,21148,0,0,0,0,0,0,0,0,0,0
1991,21149,0,0,0,0,0,0,0,0,0,0
1991,21150,0,0,0,0,0,0,0,0,0,0
1991,21151,0,0,0,0,0,0,0,0,0,0
1991,22088,5,7.6,0,0,0,0,0,7.6,0,0
1991,22089,20,3.8,0,0,0,0,0,3.6,5.6,1.9
1991,22090,0,0,0,0,0,0,0,0,0,0
1991,22091,0,0,0,0,0,0,0,0,0,0
1991,22092,0,0,0,0,0,0,0,0,0,0
1991,22093,28,4,0,0,0,0,0,4,4.8,3.1
1991,22094,5,3.2,0,0,0,0,0,3.2,0,0
1991,23094,0,0,0,0,0,0,0,0,0,0
1991,23096,0,0,0,0,0,0,0,0,0,0
1991,23099,0,0,0,0,0,0,0,0,0,0
1991,23101,15,4.8,0,0,0,0,0,4.8,3.8,5.8
1991,24086,19,3,0,0,0,0,0,3.1,2.7,3.5
1991,24087,8,2.9,0,0,0,0,0,3,0,0
1991,24089,71,8.2,0,0,0,0,0,8.2,7.7,8.8
1991,24090,55,4.6,0,0,0,0,0,4.3,4.6,4.5
1991,24091,0,0,0,0,0,0,0,0,0,0
1991,24093,430,9.9,0,7.1,9.8,10.8,0,10.2,10.9,8.8
1991,25001,5,1.4,0,0,0,0,0,1.4,0,0
1991,25002,10,4.5,0,0,0,0,0,4.5,0,0
1991,25003,0,0,0,0,0,0,0,0,0,0
1991,26001,6,3.1,0,0,0,0,0,3.1,0,0
1991,26002,0,0,0,0,0,0,0,0,0,0
