year,county_district_code,enrollment_size,demographic_composition,student_teacher_ratio,graduation_rate,free_reduced_lunch_pct,act_score_avg
1991,96088,16985,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 27.7, ""ENROLLMENT_HISPANIC_PCT"": 0.6, ""ENROLLMENT_WHITE_PCT"": 70.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1991,96089,11000,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 45.5, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 53.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1991,96090,6252,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 22.4, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 77.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1991,96091,15608,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 14.6, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 83.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1991,96092,5186,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 26.0, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 72.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1991,96093,5051,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 18.7, ""ENROLLMENT_HISPANIC_PCT"": 1.3, ""ENROLLMENT_WHITE_PCT"": 78.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1991,96094,11172,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 13.8, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 84.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1991,96095,22465,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 19.4, ""ENROLLMENT_HISPANIC_PCT"": 0.6, ""ENROLLMENT_WHITE_PCT"": 75.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1991,96098,2393,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 16.9, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 81.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1991,96099,1303,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 15.3, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 83.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
