YEAR,COUNTY_DISTRICT_CODE,DISCIPLINE_INCIDENTS,DISCIPLINE_INCIDENT_RATE,DISCIPLINE_REMOVAL_IN_SCHL_SUSP,DISCIPLINE_REMOVAL_IN_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_EXPULSION,DISCIPLINE_EXPULSION_RATE,DISCIPLINE_MORE_10_DAYS,DISCIPLINE_MORE_10_DAYS_RATE
2001,96088,333,1.8,0,0,316,1.7,15,0.1,183,1
2001,96089,87,0.7,0,0,72,0.6,0,0,59,0.5
2001,96090,12,0.2,0,0,11,0.2,0,0,0,0
2001,96091,169,0.8,86,0.4,74,0.3,6,0,122,0.6
2001,96092,35,0.7,5,0.1,30,0.6,0,0,5,0.1
2001,96093,76,1.4,0,0,76,1.4,0,0,49,0.9
2001,96094,179,1.5,0,0,179,1.5,0,0,121,1
2001,96095,382,1.9,0,0,143,0.7,10,0.1,289,1.4
2001,96098,48,1.8,0,0,48,1.8,0,0,13,0.5
2001,96099,19,1.3,0,0,19,1.3,0,0,0,0
2001,96101,7,0.8,0,0,6,0.6,0,0,0,0
2001,96102,20,0.8,0,0,20,0.8,0,0,8,0.3
2001,96103,18,1,0,0,18,1,0,0,6,0.3
2001,96104,43,1.3,0,0,42,1.3,0,0,0,0
2001,96106,18,0.6,0,0,18,0.6,0,0,0,0
2001,96107,11,1,0,0,11,1,0,0,0,0
2001,96109,51,0.9,0,0,49,0.9,0,0,0,0
2001,96110,0,0,0,0,0,0,0,0,0,0
2001,96111,16,0.2,0,0,16,0.2,0,0,0,0
2001,96112,126,2.9,0,0,122,2.8,0,0,14,0.3
2001,96113,17,1.6,0,0,17,1.6,0,0,9,0.8
2001,96114,57,1.3,0,0,48,1.1,0,0,29,0.7
2001,96119,70,3,0,0,70,3,0,0,0,0
2001,115115,172,0.4,33,0.1,139,0.3,0,0,0,0
2002,96088,276,1.5,6,0,267,1.4,0,0,75,0.4
2002,96089,44,0.4,0,0,44,0.4,0,0,21,0.2
2002,96090,35,0.5,0,0,30,0.5,5,0.1,14,0.2
2002,96091,99,0.5,77,0.4,20,0.1,0,0,0,0
2002,96092,129,2.5,0,0,125,2.4,0,0,0,0
2002,96093,111,2.1,69,1.3,42,0.8,0,0,71,1.3
2002,96094,192,1.6,105,0.9,87,0.7,0,0,85,0.7
2002,96095,410,2,0,0,323,1.6,0,0,318,1.6
2002,96098,62,2.4,0,0,62,2.4,0,0,0,0
2002,96099,0,0,0,0,0,0,0,0,0,0
2002,96101,0,0,0,0,0,0,0,0,0,0
2002,96102,8,0.3,0,0,8,0.3,0,0,0,0
2002,96103,41,2.3,0,0,41,2.3,0,0,16,0.9
2002,96104,75,2.3,0,0,75,2.3,0,0,66,2
2002,96106,16,0.5,0,0,16,0.5,0,0,0,0
2002,96107,20,1.8,0,0,20,1.8,0,0,13,1.2
2002,96109,122,2.2,0,0,121,2.2,0,0,13,0.2
2002,96110,146,2.3,0,0,146,2.3,0,0,0,0
2002,96111,76,1,0,0,0,0,0,0,0,0
2002,96112,72,1.7,0,0,71,1.6,0,0,0,0
2002,96113,44,4.2,0,0,44,4.2,0,0,19,1.8
2002,96114,63,1.5,0,0,63,1.5,0,0,15,0.4
2002,96119,49,2.4,0,0,49,2.4,0,0,0,0
2002,115115,280,0.7,72,0.2,200,0.5,0,0,0,0
2003,96088,575,5.4,0,0,574,5.4,0,0,318,3
2003,96089,113,1.5,0,0,110,1.4,0,0,49,0.6
2003,96090,226,3.7,0,0,226,3.7,0,0,7,0.1
2003,96091,108,0.7,87,0.6,15,0.1,0,0,0,0
2003,96092,54,2.5,0,0,54,2.5,0,0,11,0.5
2003,96093,73,1.4,49,0.9,24,0.5,0,0,52,1
2003,96094,163,1.4,0,0,155,1.3,0,0,98,0.8
2003,96095,375,3.6,0,0,285,2.7,5,0.1,274,2.6
2003,96098,56,2.2,0,0,56,2.2,0,0,0,0
2003,96099,11,0.9,0,0,11,0.9,0,0,0,0
2003,96101,0,0,0,0,0,0,0,0,0,0
2003,96102,0,0,0,0,0,0,0,0,0,0
2003,96103,46,2.6,0,0,45,2.5,0,0,0,0
2003,96104,99,3.2,0,0,99,3.2,0,0,78,2.5
2003,96106,52,1.6,0,0,52,1.6,0,0,0,0
2003,96107,18,1.7,0,0,18,1.7,0,0,5,0.5
2003,96109,176,4.4,0,0,172,4.3,0,0,25,0.6
2003,96110,225,3.6,0,0,225,3.6,0,0,15,0.2
2003,96111,55,1.3,0,0,55,1.3,0,0,0,0
2003,96112,77,3.5,0,0,77,3.5,0,0,35,1.6
2003,96113,40,3.8,0,0,39,3.7,0,0,11,1
2003,96114,58,1.7,0,0,58,1.7,0,0,7,0.2
2003,96119,45,2.1,8,0.4,37,1.7,0,0,0,0
2003,115115,119,0.6,0,0,117,0.6,0,0,0,0
2004,96088,766,4,0,0,747,3.9,9,0.1,106,0.5
2004,96089,248,2.1,0,0,247,2,0,0,118,1
2004,96090,250,4.2,11,0.2,233,3.9,6,0.1,24,0.4
2004,96091,115,0.5,90,0.4,24,0.1,0,0,83,0.4
2004,96092,107,2.1,6,0.1,101,2,0,0,8,0.2
2004,96093,86,1.6,62,1.1,22,0.4,0,0,74,1.4
2004,96094,365,3.1,0,0,365,3.1,0,0,37,0.3
2004,96095,464,2.4,0,0,456,2.3,0,0,339,1.7
2004,96098,43,1.7,0,0,43,1.7,0,0,0,0
2004,96099,18,1.2,0,0,18,1.2,0,0,0,0
2004,96101,0,0,0,0,0,0,0,0,0,0
2004,96102,0,0,0,0,0,0,0,0,0,0
2004,96103,53,2.9,0,0,53,2.9,0,0,0,0
2004,96104,82,2.5,0,0,82,2.5,0,0,71,2.2
2004,96106,20,0.6,0,0,20,0.6,0,0,0,0
2004,96107,32,3.2,0,0,32,3.2,0,0,19,1.9
2004,96109,208,4,0,0,204,3.9,0,0,0,0
2004,96110,201,3.3,0,0,201,3.3,0,0,0,0
2004,96111,389,4.9,0,0,389,4.9,0,0,134,1.7
2004,96112,42,1.1,0,0,35,0.9,0,0,0,0
2004,96113,32,3,0,0,31,2.9,0,0,17,1.6
2004,96114,67,1.6,26,0.6,41,1,0,0,22,0.5
2004,96119,44,2.1,0,0,44,2.1,0,0,0,0
2004,115115,412,1.1,0,0,349,0.9,61,0.2,69,0.2
2005,96088,791,4.1,0,0,788,4.1,0,0,134,0.7
2005,96089,725,5.9,0,0,719,5.9,0,0,615,5
2005,96090,241,4.2,6,0.1,224,3.9,6,0.1,59,1
2005,96091,250,1.1,79,0.4,171,0.8,0,0,95,0.4
2005,96092,100,2,5,0.1,95,1.9,0,0,5,0.1
2005,96093,105,1.9,84,1.5,19,0.3,0,0,91,1.7
2005,96094,251,2.2,0,0,250,2.1,0,0,9,0.1
2005,96095,523,2.8,0,0,520,2.7,0,0,343,1.8
2005,96098,54,2.2,0,0,54,2.2,0,0,0,0
2005,96099,59,3.7,0,0,53,3.3,0,0,20,1.3
2005,96101,0,0,0,0,0,0,0,0,0,0
2005,96102,10,0.4,0,0,10,0.4,0,0,5,0.2
2005,96103,19,1,0,0,18,1,0,0,0,0
2005,96104,127,3.9,0,0,127,3.9,0,0,90,2.8
2005,96106,32,1,0,0,32,1,0,0,0,0
2005,96107,35,3.5,0,0,34,3.4,0,0,17,1.7
2005,96109,317,6,0,0,316,6,0,0,8,0.2
2005,96110,257,4.2,0,0,257,4.2,0,0,7,0.1
2005,96111,575,7.2,0,0,575,7.2,0,0,92,1.2
2005,96112,127,3.4,0,0,127,3.4,0,0,48,1.3
2005,96113,27,2.7,7,0.7,20,2,0,0,19,1.9
2005,96114,77,1.9,19,0.5,58,1.4,0,0,31,0.8
2005,96119,64,3.1,0,0,63,3,0,0,13,0.6
2005,115115,1511,4.2,14,0,1427,4,70,0.2,25,0.1
2006,96088,463,2.4,0,0,463,2.4,0,0,77,0.4
2006,96089,1035,8.4,16,0.1,1019,8.3,0,0,769,6.2
2006,96090,285,4.9,7,0.1,277,4.8,0,0,0,0
2006,96091,249,1.1,83,0.4,166,0.8,0,0,116,0.5
2006,96092,103,2.1,0,0,103,2.1,0,0,0,0
2006,96093,86,1.6,0,0,84,1.5,0,0,55,1
